code;fclass;Color;LOD;Layer;Description;OSM Tags
2602;atm;;;pois;A machine that lets you withdraw cash from your bank account.;amenity=atm
2701;tourist_info;;;pois;Something that provides information to tourists, may or many not be manned.;tourism=information with none of the specifics below
2704;tourist_map;;;pois;A map displayed to inform tourists.;tourism=information and information=map
2705;tourist_board;;;pois;A board with explanations aimed at tourists.;tourism=information and information=board
2706;tourist_guidepost;;;pois;A guide post.;tourism=information and information=guidepost
2721;attraction;;;pois;A tourist attraction.;tourism=attraction
2722;museum;;;pois;A museum.;tourism=museum
2723;monument;;;pois;A monument.;historic=monument
2724;memorial;;;pois;A memorial.;historic=memorial
2725;art;;;pois;A permanent work of art.;tourism=artwork
2731;castle;;;pois;A castle.;historic=castle
2732;ruins;;;pois;Ruins of historic significance.;historic=ruins
2733;archaeological;;;pois;An excavation site.;historic=archaeological_site
2734;wayside_cross;;;pois;A wayside cross, not necessarily old.;historic=wayside_cross
2735;wayside_shrine;;;pois;A wayside shrine.;historic=wayside_shrine
2736;battlefield;;;pois;A historic battlefield.;historic=battlefield
2737;fort;;;pois;A fort.;historic=fort
2741;picnic_site;;;pois;A picnic site.;tourism=picnic_site
2742;viewpoint;;;pois;A viewpoint.;tourism=viewpoint
2743;zoo;;;pois;A zoo.;tourism=zoo
2744;theme_park;;;pois;A theme park.;tourism=theme_park
2901;toilet;;;pois;Public toilets.;amenity=toilets
2902;bench;;;pois;A public bench.;amenity=bench
2903;drinking_water;;;pois;A tap or other source of drinking water.;amenity=drinking_water
2904;fountain;;;pois;A fountain for cultural, decorative, or recreational purposes.;amenity=fountain
2905;hunting_stand;;;pois;A hunting stand.;amenity=hunting_stand
2906;waste_basket;;;pois;A waste basket.;amenity=waste_basket
2907;camera_surveillance;;;pois;A surveillance camera.;man_made=surveillance
2921;emergency_phone;;;pois;An emergency telephone.;amenity=emergency_phone, emergency=phone
2922;fire_hydrant;;;pois;A firy hydrant.;amenity=fire_hydrant, emergency=fire_hydrant
2923;emergency_access;;;pois;An emergency access point (signposted place in e.g. woods the location of which is known to emergency services).;highway=emergency_access_point
2950;tower;;;pois;A tower of some kind.;man_made=tower and none of the specifics below
2951;tower_comms;;;pois;A communications tower.;man_made=tower and tower:type=communication
2952;water_tower;;;pois;A water tower.;man_made=water_tower
2953;tower_observation;;;pois;An observation tower.;man_made=tower and tower:type=observation
2954;windmill;;;pois;A windmill.;man_made=windmill
2955;lighthouse;;;pois;A lighthouse.;man_made=lighthouse
2961;wastewater_plant;;;pois;A wastewater treatment plant.;man_made=wastewater_plant
2962;water_well;;;pois;A facility to access underground aquifers.;man_made=water_well
2963;water_mill;;;pois;A mill driven by water. Often historic.;man_made=watermill
2964;water_works;;;pois;A place where drinking water is processed.;man_made=water_works
3100;christian;;;pois;A christian place of worship (usually a church) without one of the denominations below.;amenity=place_of_worship + religion=christian
3101;christian_anglican;;;pois;A christian place of worship where the denomination is known.;#»Ãﬂ?
3102;christian_catholic;;;pois;A christian place of worship where the denomination is known.;#»Ãﬂ?
3103;christian_evangelical;;;pois;A christian place of worship where the denomination is known.;#»Ãﬂ?
3104;christian_lutheran;;;pois;A christian place of worship where the denomination is known.;#»Ãﬂ?
3105;christian_methodist;;;pois;A christian place of worship where the denomination is known.;#»Ãﬂ?
3106;christian_orthodox;;;pois;A christian place of worship where the denomination is known.;#»Ãﬂ?
3107;christian_protestant;;;pois;A christian place of worship where the denomination is known.;#»Ãﬂ?
3108;christian_baptist;;;pois;A christian place of worship where the denomination is known.;#»Ãﬂ?
3109;christian_mormon;;;pois;A christian place of worship where the denomination is known.;#»Ãﬂ?
3200;jewish;;;pois;A jewish place of worship (usually a synagogue).;amenity=place_of_worship + religion=jewish
3300;muslim;;;pois;A muslim place of worhsip, (usually a mosque) without one of the denominations below.;amenity=place_of_worship + religion=muslim
3301;muslim_sunni;;;pois;A Sunni muslim place of worship.;#»Ãﬂ?
3302;muslim_shia;;;pois;A Shia muslim place of worship.;#»Ãﬂ?
3400;buddhist;;;pois;A Buddhist place of worship.;amenity=place_of_worship + religion=buddhist
3500;hindu;;;pois;A Hindu place of worship.;amenity=place_of_worship + religion=hindu
3600;taoist;;;pois;A Taoist place of worship.;amenity=place_of_worship + religion=taoist
3700;shintoist;;;pois;A Shintoist place of worship.;amenity=place_of_worship + religion=shintoist
3800;sikh;;;pois;A Sikh place of worship.;amenity=place_of_worship + religion=sikh
4101;spring;;;pois;A spring, possibly source of a stream.;natural=spring
4103;glacier;;;pois;A glacier.;natural=glacier
4111;peak;;;pois;A mountain peak.;natural=peak
4112;cliff;;;pois;A cliff.;natural=cliff
4113;volcano;;;pois;A volcano.;natural=volcano
4121;tree;;;pois;A tree.;natural=tree
4131;mine;;;pois;A mine.;natural=mine
4132;cave_entrance;;;pois;A cave entrance.;natural=cave_entrance
4141;beach;;;pois;A beach. (Note that beaches are only rarely mapped as point features.);natural=beach
5201;traffic_signals;;;pois;Traffic lights.;highway=traffic_signals
5202;mini_roundabout;;;pois;A small roundabout without physical strucutre, usually just painted onto the road surface.;highway=mini_roundabout
5203;stop;;;pois;A stop sign.;highway=stop
5204;crossing;;;pois;A place where the street is crossed by pedestrians or a railway.;highway=crossing, railway=level_crossing
5205;ford;;;pois;A place where the road runs through a river or stream.;highway=ford
5206;motorway_junction;;;pois;The place where a slipway enters or leaves a motorway.;highway=motorway_junction
5207;turning_circle;;;pois;An area at the end of a street where vehicles can turn.;highway=turning_circle
5208;speed_camera;;;pois;A camera that photographs speeding vehicles.;highway=speed_camera
5209;street_lamp;;;pois;A lamp illuminating the road.;highway=street_lamp
5250;fuel;;;pois;A gas station.;amenity=fuel
5251;service;;;pois;A service area, usually along motorways.;highway=services
5260;parking;;;pois;A car park of unknown type.;amenity=parking with none of the specifics below and without access=private/customers
5261;parking_surface;;;pois;A surface car park.;amenity=parking and parking=surface and without access=private/customers
5262;parking_multistorey;;;pois;A multi storey car park.;parking=multi-storey and without access=private/customers
5263;parking_underground;;;pois;An underground car park.;parking=underground and without access=private/customers
5264;parking_street;;;pois;On-street parking.;parking=street_side/lane and without access=private/customers
5270;parking_bicycle;;;pois;A place to park your bicycle.;amenity=bicycle_parking and without access=private/customers
5271;bicycle_repair_station;;;pois;A bicycle repair station.;amenity=bicycle_repair_station
5301;slipway;;;pois;A slipway.;leisure=slipway
5302;marina;;;pois;A marina.;leisure=marina
5303;pier;;;pois;A pier.;man_made=pier
5311;dam;;;pois;A dam.;waterway=dam
5321;waterfall;;;pois;A waterfall.;waterway=waterfall
5331;lock_gate;;;pois;A lock gate.;waterway=lock_gate
5332;weir;;;pois;A barrier built across a river or stream.;waterway=weir
5601;railway_station;;;pois;A larger railway station of mainline rail services.;railway=station
5602;railway_halt;;;pois;A smaller, local railway station, or subway station.;railway=halt, or public_transport=stop_position + train=yes
5603;tram_stop;;;pois;A tram stop.;railway=tram_stop, or public_transport=stop_position + tram=yes
5621;bus_stop;;;pois;A bus stop.;highway=bus_stop, or public_transport=stop_position + bus=yes
5622;bus_station;;;pois;A large bus station with multiple platforms.;amenity=bus_station
5641;taxi_rank;;;pois;A taxi rank.;amenity=taxi
5651;airport;;;pois;A large airport.;amenity=airport or aeroway=aerodrome unless type=airstrip
5652;airfield;;;pois;A small airport or airfield.;aeroway=airfield, military airfield, aeroway=aeroway with type=airstrip
5655;helipad;;;pois;A place for landing helicopters.;aeroway=helipad
5656;apron;;;pois;A apron (area where aircraft are parked);aeroway=apron
5661;ferry_terminal;;;pois;A ferry terminal.;amenity=ferry_terminal
5671;aerialway_station;;;pois;A station where cable cars or lifts alight.;aerialway=station
